sim_beta_c_c,sim_beta_e_c,sim_beta_c_e,sim_beta_e_e,sim_alpha_choice,sim_alpha_cf,sim_q_init,fit_beta_c_c,fit_beta_e_c,fit_beta_c_e,fit_beta_e_e,fit_alpha_choice,fit_alpha_cf,fit_q_init
-0.96895,2.1311,2.6403,1.0874,1.6163,-1.2732,4.1027,-0.47974,2.2207,2.9342,1.4683,1.5744,-1.4388,2.6368
-0.80426,1.7732,2.1377,-0.21882,-6.4285,-1.4836,-5.2648,-0.98591,1.7642,2.3094,-1.2727,-5.0367,-1.5183,-3.2705
-1.6341,1.8541,0.44768,0.5063,-3.8343,0.46212,1.0974,-1.014,1.7959,0.85493,0.5069,-3.3824,0.50074,0.65187
1.8977,-1.9564,-0.4936,1.7437,-0.038754,-1.9207,-3.0032,1.8456,0.22383,-1.3584,1.9794,0.030886,-1.8171,-2.1212
0.29084,-0.34015,-2.4118,2.1779,-3.8937,1.712,2.8887,0.078428,-0.044896,-0.43148,1.9986,-3.4563,1.7673,2.4026
0.3137,-1.5283,2.1483,0.052773,-0.6383,-1.8884,3.6821,-0.05742,-0.25461,2.0231,0.41912,-0.60292,-2.4925,1.1322
-1.6065,0.46728,-0.86729,-2.7779,-4.4095,-1.909,2.5493,-0.76306,0.71602,-1.6771,-1.3652,-1.5212,-2.5704,-0.34048
1.5301,-0.1389,0.52021,0.03137,-5.784,0.34455,1.8528,1.4006,-0.34016,0.63465,0.29694,-2.8014,1.4565,0.82994
0.17252,-1.9163,-1.2071,1.5266,-5.9924,1.4289,3.1909,0.43148,-1.2344,-1.7459,1.5733,-3.1378,0.70025,3.027
-2.447,-0.90689,-1.9009,1.9386,-3.4259,0.70639,1.1862,-1.0895,-1.4145,-0.92714,2.6564,0.29805,-4.0678,-1.7508
-0.64353,-1.0987,-0.84976,1.0926,-1.3597,0.88296,-4.6608,-0.34867,-1.0096,-1.8714,1.2107,-1.0067,0.46806,-2.0665
0.13358,1.715,0.36889,0.77474,-6.4945,-1.9066,2.0977,0.81474,1.5436,-1.7908,-0.1754,-3.2499,-2.1547,0.92895
1.7908,-2.2179,2.032,-1.1068,-0.21141,1.3485,0.036995,1.5882,0.39899,1.7618,-1.67,0.36885,1.4498,-0.18788
-2.4033,-1.9222,-0.96323,-1.6606,-2.4295,-0.87217,2.5006,-2.7538,-1.2589,-0.94053,-0.98596,-1.518,0.8802,0.37635
-2.1477,0.83219,-0.96356,-1.2708,-0.74327,1.2027,2.7571,-1.4381,0.76749,-1.244,-0.51066,-0.92731,1.3974,-0.6474
-1.7368,0.78766,1.5196,0.1493,0.47891,1.8812,-1.1497,-1.4805,0.62854,1.9348,0.51782,-0.17991,1.1951,1.3635
2.7457,0.66113,1.2388,-1.1159,-4.0825,1.6367,-2.1351,2.3644,0.14242,1.2466,-0.31131,-3.8162,0.8393,-1.4589
1.0257,-0.82371,-1.5388,1.5001,-0.12151,-1.5618,-1.5746,1.1825,-0.27416,0.2901,1.9079,-0.88443,-1.4691,-0.70442
-0.6745,2.0376,-2.1426,-2.1238,-2.6687,0.99237,-0.25677,-2.0479,2.1289,-1.403,-2.7749,-3.2057,1.0012,-0.14938
2.0197,-0.067391,1.736,-0.77975,-6.0915,0.011716,0.27671,1.7755,0.093216,1.7455,-0.36111,-4.0882,-0.12064,0.63017
2.7615,-1.5234,2.0971,-2.828,-6.0161,-1.4779,-1.8997,3.3721,-0.29994,2.2282,-1.515,-5.2584,-1.7955,-2.8665
-2.3756,-0.92056,-0.3528,-1.9086,-5.2104,-1.7746,-4.4218,-2.0534,-0.32873,-1.1812,-0.46604,-0.89203,-2.5966,0.64562
2.1892,1.0565,-1.0328,1.0894,-0.91144,0.34855,1.8281,2.6795,1.5949,-0.58706,1.2156,-1.2325,0.32122,1.2713
-1.8296,0.40771,-1.4584,1.867,-2.5605,-1.1467,-0.15025,-0.13089,-0.31079,-1.4249,2.0497,-3.5249,-0.72897,-0.28144
0.29078,-1.4264,0.68147,1.338,-4.3047,-1.3663,-0.69189,-0.16219,0.51782,0.47357,1.3256,-1.5944,-3.2334,0.092557
0.82127,2.2674,-0.33348,0.95515,0.87649,-0.83352,1.5298,0.92363,2.6445,-0.23208,1.0385,0.38108,-1.1958,1.1042
1.1564,-0.29533,-1.8614,0.29229,-5.2365,1.8601,2.7293,1.001,0.29433,-1.1298,-0.020687,-3.2416,1.9207,0.89781
-1.3325,-0.74866,-2.1551,-2.3682,-6.1911,1.3031,0.66923,-1.0804,-1.6452,-1.2808,-1.9836,-2.4537,1.0587,0.50388
-2.5985,0.50115,-2.2587,1.4128,-2.1666,1.99,0.74277,-2.6295,-0.14461,-0.61792,1.4901,-2.3801,1.9146,0.47754
2.3615,2.0692,1.2827,1.6425,-6.233,0.43416,1.2894,2.0558,2.071,1.3044,1.7083,-3.8618,0.58579,2.1363
2.2951,-1.1396,0.19935,-2.4231,-2.5901,0.95722,-4.339,2.4353,-1.3705,-0.57945,-1.6935,-2.4436,0.90605,-2.3133
2.4687,-1.523,-2.3026,1.1835,-2.4151,2.1302,1.6563,2.6623,-1.7694,-1.612,1.1499,-2.4625,1.665,2.4988
2.4482,1.4673,1.2638,-1.7221,-5.4068,-0.8229,3.2074,2.4263,1.615,1.1494,-1.8035,-3.7615,-0.78723,2.8755
0.0069108,2.1998,-0.79379,2.043,-5.9097,-0.51113,2.0619,0.27646,1.9891,0.352,2.4363,-0.76073,-4.2947,-3.5937
0.91082,-1.0617,-2.0472,2.0599,-5.5662,-0.62308,-2.9157,0.77162,-0.60923,0.46717,1.7613,-3.1847,-0.28495,-2.3728
-1.515,-0.92218,-0.76025,-1.7807,-4.7866,1.1066,1.9059,-1.791,-0.19775,0.48177,-1.7191,-3.7245,-0.68555,1.5359
-1.9019,1.6774,-0.76871,-1.0285,-5.572,-1.2326,-5.1039,-1.9228,1.147,-0.95713,-1.9349,-3.0279,-0.60125,-1.9006
1.2634,2.2257,1.0401,-0.025011,-1.5515,1.8081,-1.4704,1.0628,2.6323,0.87969,0.2499,-1.4026,1.4906,-0.4724
-0.80908,0.033691,2.0257,-2.288,-5.3548,1.0285,1.2031,-2.2095,0.53214,1.952,-1.5442,-3.1407,0.59004,0.64635
-2.2215,2.0472,-0.25944,-0.47868,-0.71044,1.9667,3.0437,-1.2825,2.1006,-0.72079,-0.30167,-0.39379,2.3206,0.27225
1.7367,-0.31255,-1.0323,1.7982,-1.3828,1.6116,-1.0616,2.3208,0.46253,-1.3047,1.6564,-1.1907,1.7671,-2.5417
0.040164,-0.12943,-2.3227,-2.4199,-4.4338,-1.3649,0.37963,0.54213,-0.97448,0.20531,-1.4174,-3.5859,-1.4655,2.0219
1.1694,0.015125,1.7917,-2.5519,-5.5126,1.2157,-1.2485,1.0734,-0.22843,1.8017,-1.3987,-3.4343,1.6063,-1.0112
-2.3306,-1.442,-1.848,2.1447,-4.3519,-1.7371,-1.3889,-2.37,-2.1126,-2.0303,1.336,-0.78295,-2.3896,-0.10679
-0.79142,1.0581,-0.12544,-1.7589,-2.9457,1.4206,-4.102,-1.226,1.3088,-0.031914,-0.95481,-3.4787,1.3474,-0.9604
2.3253,0.96388,1.2297,0.27538,-2.7597,1.9385,-3.5746,2.1853,2.0174,1.1194,0.40966,-3.1132,2.4923,-2.0951
2.5161,1.9618,0.58444,-1.9658,-6.0783,-0.22877,2.9173,3.183,0.30815,0.60129,-1.5298,-4.8112,-0.77469,2.6169
1.0936,-1.9263,2.5878,-0.46216,-3.5006,1.8828,1.1519,1.0607,-1.2908,2.7561,-1.5933,-3.2717,1.5312,1.6441
-0.4331,1.7415,-2.1823,1.8351,-1.1625,-0.12985,-3.782,0.04085,1.652,-1.8671,1.6322,-1.1695,0.12303,-2.0755
2.4701,1.9418,0.035913,-0.18073,-4.188,-0.25667,-0.26377,2.6175,2.3302,0.18286,0.36418,-2.5777,-0.75956,0.3454
-2.1533,1.4613,1.2598,-0.34464,-1.6683,0.62955,3.5423,-0.88099,1.4302,1.3098,-0.24843,0.44672,-2.3793,-3.197
2.4556,1.1536,1.7094,-0.77719,0.88085,-1.4103,2.7776,2.7153,1.0707,1.5914,-2.1797,1.0466,-1.1033,1.0729
0.2434,-0.33011,-1.0669,-0.29203,-0.24393,-1.8804,-3.1202,-0.13142,0.18367,-0.20331,-0.28937,0.39657,-1.4343,-1.7228
-2.2966,-1.0683,-2.0262,0.87171,-6.2392,-0.48133,-0.64116,-2.1314,-1.8168,-1.0753,0.64216,0.18608,-2.3661,2.1634
2.6709,0.86302,-1.2906,-0.81947,-5.3451,0.98615,0.15547,2.5903,-0.12233,-1.3864,-0.34319,-3.2283,1.0547,0.057651
-0.53688,-0.97322,-1.0186,2.2507,-5.0747,0.79361,0.024146,-1.3533,-0.011537,-2.0467,2.2315,-2.8584,0.58288,-0.21865
-0.19974,1.0285,-0.34501,0.02234,1.0925,-0.10562,2.0268,0.43297,1.0301,-0.31807,0.13137,0.38958,-0.44715,-0.37574
-2.6368,1.7273,0.16272,1.5857,-4.8925,0.49183,-0.48852,-1.1554,1.3829,0.36549,1.6587,-2.9108,1.2672,-1.7924
-0.74702,-0.99819,-0.61794,-0.80443,-6.2359,-0.93239,-5.0121,-0.62086,-1.7276,-2.0401,-1.37,-2.0322,1.0619,-0.13859
-0.35961,-1.8792,-0.20168,2.204,-0.18341,-1.2612,-1.0507,-0.24709,-1.8055,-1.1765,2.6175,-0.068599,-1.998,-0.7511
-0.13409,2.0049,-0.66004,2.1441,1.577,-1.5413,1.2356,0.036462,2.1627,-0.28057,2.3392,1.4548,-1.4746,2.3548
2.5469,0.7205,1.0433,2.0157,-0.62044,1.1816,-3.5686,3.6928,1.7067,1.374,2.12,-0.89474,1.1268,-0.61015
2.5,1.2505,-0.9842,-1.7049,-6.5576,0.99422,-1.6002,2.2204,1.3232,-1.3887,-0.90327,-3.2711,1.2177,-0.36022
2.7053,-0.68271,0.21636,-0.053821,-5.344,1.2526,-3.2762,2.1186,0.0050728,-0.022325,-0.24159,-3.8849,1.0612,-2.0554
0.38163,-0.314,-0.052319,0.58142,-0.50003,0.88587,2.5132,0.70714,-1.0213,-0.26285,0.50774,-0.41949,0.96763,1.4658
1.3341,1.8624,-2.1625,-2.1349,-1.3227,1.2738,-0.65776,1.5867,1.6775,-2.2371,-1.596,-0.72139,1.5818,-0.075058
1.8581,0.56689,-1.356,-2.5647,-4.9335,-1.5509,1.3667,1.7483,-0.021454,-0.80127,-1.6045,-1.6014,-2.5292,-0.78054
2.4793,2.158,0.27336,1.5092,-1.7501,1.3909,-4.9059,2.6389,2.2944,0.66904,1.6059,-2.0672,1.4908,-3.0441
0.051229,0.69703,1.4741,1.7625,-3.4016,-1.455,-4.5051,-0.99704,1.08,1.2391,1.3934,-3.9963,-1.2099,-1.8483
1.7075,2.2994,-0.58609,1.8616,-3.0642,1.2557,-1.9102,1.4914,2.4852,-1.07,1.7762,-2.4338,2.1612,-1.6691
2.532,1.6066,0.047368,0.049485,-0.38651,1.7486,-4.5413,2.8125,2.2284,-0.0098608,0.043231,0.36916,1.8587,0.13148
1.351,1.2938,-1.2122,-0.4028,-5.2261,0.18261,-3.6291,1.0416,0.99037,-2.1396,-0.35111,-3.543,1.0464,-2.1685
-2.6221,-0.4488,2.1616,2.1676,-1.1835,0.758,1.5676,-1.5561,-0.87904,2.261,2.1505,-1.1219,0.61379,0.38959
0.27154,-0.10232,-1.7554,-1.2937,-6.1794,-0.56955,2.283,0.79853,-1.2857,-1.4415,-2.0482,-2.9268,-0.68996,2.3833
-0.62767,1.0458,-1.6531,-1.5418,-2.2134,-0.25898,-0.15113,-0.58819,0.74201,-1.7846,-1.4847,0.0080602,-1.3124,-0.43164
-2.2508,-1.0804,-0.62429,-2.2205,0.075063,1.5437,-0.30269,-1.3569,-1.7887,-0.98109,-2.0306,0.23651,1.7062,0.15532
1.1536,1.9572,-1.9933,2.2387,-4.6747,0.96214,4.0241,1.2951,1.5233,-0.89259,2.297,-3.8134,-0.038596,3.0436
-1.9415,0.25262,-1.9277,2.0352,-1.0233,1.5874,-4.1938,-2.073,0.59865,-0.45421,1.9531,-1.5455,1.0496,-1.9826
-0.51886,-0.11547,2.5745,-2.0294,0.99297,-1.5591,3.6634,-0.50765,-0.34303,2.6382,-1.3672,1.0698,-1.5277,2.1989
0.043176,-1.574,1.6098,1.365,-5.2378,-0.74796,-2.272,-1.1526,-1.1903,1.4557,0.6364,-0.61865,-3.2005,0.93675
-0.15089,0.45024,1.7902,-1.8751,-4.1683,0.3872,-5.0345,-0.016005,0.37463,1.8166,-0.9712,-3.6827,0.43188,-2.0407
2.2942,0.096525,-0.47917,-1.3117,-2.2672,1.9269,1.6054,2.2354,1.4378,-0.86889,-1.523,-0.48744,2.4711,1.4232
1.2341,2.2986,-2.266,-1.4878,-3.7315,-1.8395,-2.1515,1.2248,1.894,-1.6523,-1.8405,-3.846,-1.4864,-1.9186
1.141,-0.11875,-1.865,0.12046,-0.902,1.3901,2.7542,0.89898,0.12104,-1.0882,0.21886,-0.84551,0.63644,1.4345
-0.050777,0.053971,0.65588,1.6419,-5.0723,-0.73169,-2.8226,-0.53012,0.79605,-0.96911,1.2737,-3.7271,-0.35623,-2.1408
-1.0383,-1.6564,1.3168,-2.4035,-0.88733,0.51691,-4.3894,-0.73741,-2.7252,1.4952,-2.0766,-0.89663,0.39114,0.080612
-1.1438,-1.9342,1.5932,-1.2776,-1.4354,1.8794,-3.0564,-1.5632,-2.3905,1.8133,-1.6152,-1.7561,1.7593,-0.72429
0.98359,1.4677,-0.19574,1.1425,-5.6227,2.0519,-3.6483,0.87513,2.8547,-0.20951,1.0827,-5.1412,1.5179,-3.921
1.0912,1.3403,-1.7226,-1.0583,-4.6926,-1.8999,1.8036,0.35578,1.7848,-0.2529,-2.2888,-3.0943,-1.8906,0.9565
-1.1195,1.9804,-1.4855,1.2017,-5.5411,0.50246,2.9813,-1.3492,2.0933,-1.738,1.1165,-3.8043,1.0736,2.6204
2.1354,-1.1934,-1.7948,-2.771,-6.4633,-0.97034,-3.8001,1.8284,-1.2981,-1.1043,-1.3192,-3.9393,-0.92194,-1.9662
1.4671,-0.051283,0.31514,-1.2925,-4.4036,0.64673,3.0313,1.3588,-0.58192,0.16259,-0.30689,-3.7145,0.75204,2.8654
-1.7019,-0.90838,1.5198,1.7865,-2.5241,-0.6794,-0.68467,-0.67125,-0.39771,1.4064,1.6365,-1.8347,-0.65595,-0.41816
2.2981,-0.64714,-1.6594,-1.4213,-5.8566,0.36122,1.45,2.6742,1.1692,-0.59388,-1.3258,-4.1596,1.3567,1.7254
-1.0466,-1.0907,-2.0494,-1.6073,-6.2213,0.83988,-3.469,-1.395,-0.39456,-0.34891,-0.47606,-2.6253,0.5714,-1.8958
-0.10081,2.1395,-0.54968,-0.79138,-3.8828,0.28531,0.68976,0.29251,2.1404,-0.25253,-0.90922,-2.6423,0.63695,0.38183
-1.0847,2.0726,-1.7549,1.0603,-1.3829,-0.25629,0.74616,-0.8711,2.4109,-1.0374,1.5956,-3.0911,-0.58611,0.019263
2.5229,-0.29474,2.4867,0.11974,-5.5044,0.22116,-1.8747,2.3227,0.2152,2.7356,-1.009,-4.4503,0.63565,-1.6397
-1.5575,-1.9865,0.9813,-1.6729,-5.1792,0.022982,-3.648,-1.664,-1.7196,0.72652,-2.3978,0.55036,-3.8965,-0.72472
-2.2659,-0.60412,2.5165,0.81916,-2.4772,-0.95689,-1.7544,-0.56666,-1.1864,2.7599,1.1324,-2.6451,-1.091,-2.7675
-1.9621,0.82354,-1.793,-1.4192,-1.9195,0.055363,-5.1732,-2.661,0.43273,-2.0113,-1.3844,-2.3123,1.8067,0.78893
-2.1192,-1.7644,1.2243,-0.6613,-4.7067,0.32223,2.8311,-1.1034,-1.9365,1.2121,-0.58311,-4.3048,0.18143,2.2165
1.9862,2.1396,-1.106,-2.1477,-2.6023,1.0418,2.0961,2.4003,3.4836,-1.5536,-2.2247,-2.3982,1.5188,2.2323
0.44883,-0.49586,1.4346,1.6493,-2.6302,2.142,-4.5906,0.28914,-0.2603,1.4942,1.6422,-2.9129,2.1561,-2.0125
2.1904,-0.57273,1.0939,1.779,-5.8337,-1.321,-4.485,2.1755,-1.3793,1.1788,1.7225,-4.5936,-1.2968,-3.1908
0.24158,1.5038,-0.70142,1.5772,-1.4584,1.0381,-4.6851,0.63752,1.417,-0.55615,1.5202,-1.5068,1.6668,-2.5212
-2.5069,0.18986,2.4005,-2.8155,-4.2105,-0.37317,2.4581,-2,0.29283,2.5703,-1.5849,-4.2536,-0.074033,2.7178
2.5678,-0.047383,1.4784,1.1315,-2.3948,-1.1122,-3.2461,2.43,0.81545,1.5754,1.2846,-1.1676,-3.2905,-0.13421
-2.151,-0.079303,-0.93873,0.81242,-6.4197,0.47097,-5.3927,-1.1657,0.11423,-0.5674,0.76057,-3.3592,0.38862,-2.6193
-2.0749,1.7244,-1.6489,1.9721,0.77213,2.0346,-2.9112,-1.7492,2.3357,-2.49,2.4493,0.12396,2.612,-0.27918
-0.80147,2.3088,-1.1632,-1.0162,-5.7303,2.059,-3.8767,-1.1619,2.0833,-0.40684,-0.68009,-3.7716,1.5179,-2.2893
-0.24138,1.8842,-0.3169,2.0964,-2.1941,2.0473,-2.1435,-0.53516,1.9791,-0.21476,2.0938,-2.6845,1.6044,-1.1371
-2.4013,-2.0055,-0.60129,1.3433,-5.2336,0.84057,3.1667,-1.0347,-1.7217,-1.1463,1.6953,-2.727,0.012521,2.7766
-2.5334,1.9284,0.056647,-1.9357,-5.7454,-0.3982,3.5824,-1.7357,2.1867,0.35901,-0.33257,-3.684,-0.93188,2.0605
2.537,-1.9891,2.5536,-1.4685,-5.2697,1.8835,3.4283,1.9882,-1.5664,2.1558,-0.94079,-3.8691,1.3625,3.1943
-2.4211,-1.8445,-0.84547,0.63058,1.1657,-1.6109,-2.1308,-2.4516,-0.65897,-0.16133,0.59616,1.5767,-1.1835,-2.6541
2.0876,-0.16884,2.5345,-0.031186,0.98144,-0.50043,-0.10999,2.5978,-0.43179,3.3094,0.34163,-0.10687,0.17272,-0.38317
1.0457,0.95254,-1.482,0.52806,-5.2477,-0.31978,3.4289,1.3376,1.4787,-0.05376,0.69907,-4.6358,-0.78883,2.8875
2.5831,0.71959,-2.0203,-0.83245,-3.3417,-1.2184,4.0995,2.5158,1.6118,-0.27881,-2.6495,-4.6984,0.97699,3.9461
-2.0478,-0.33827,-1.3544,0.20309,-4.0837,-1.6212,1.5792,0.062338,-0.080207,-1.6268,-0.96236,-2.92,-3.1095,0.16256
-1.3311,-1.2788,2.1841,0.99834,-3.9137,0.093512,0.65951,-1.9057,-1.5275,2.2913,0.88967,-3.1406,-0.029731,0.81868
0.060861,-1.356,-0.43331,-2.6006,-2.7097,0.90761,-5.2507,0.08187,-0.1201,-0.483,-0.90003,-2.0873,0.90176,-0.65845
-2.4136,1.3718,-0.32497,-2.4599,-4.7129,-1.5576,-1.4157,-0.86292,0.38447,-0.81385,-0.61073,-0.93298,-3.2633,1.2959
1.8254,-0.04183,1.2688,-1.1333,-0.41035,1.6956,-4.4328,1.6358,0.48335,1.3228,-1.7252,-0.16924,0.97421,-0.9476
-0.49528,0.43239,-2.0598,0.99167,-1.7949,0.2232,0.68517,-2.0345,0.54804,-2.028,0.85784,-1.8087,0.011143,0.98842
-1.1879,-2.2054,1.733,-0.37272,0.01706,-1.5968,-4.4977,-0.96808,-0.0035043,1.8287,-1.9066,-0.4973,-1.0721,-1.276
0.30991,-1.019,1.0443,2.0433,-6.294,-1.4414,-2.985,-0.054005,-0.32363,-0.17033,1.0281,-0.63147,-1.7534,1.3078
2.2009,-1.131,-0.49375,-1.5,-0.73818,0.70815,3.6446,2.1159,0.24509,-0.37162,-0.57534,-1.0253,1.2482,-0.43766
1.4577,0.69237,-1.631,-1.0652,-1.8417,0.59734,-4.9583,1.6227,-0.10336,-1.1383,-2.8584,-3.2751,1.1274,-1.848
0.76024,-0.20739,0.2182,0.035361,-2.801,-0.13523,2.5123,0.87963,-0.31004,0.43607,0.38425,-3.2594,-0.29475,2.1129
0.95649,-1.1613,-1.0858,1.8246,-4.5748,-0.24947,4.2246,1.0001,-1.329,-0.42314,2.1235,-3.9833,-0.57555,3.1241
2.5052,1.4787,-2.1681,1.0346,-3.1798,2.1405,3.1947,2.2601,1.4284,-0.50015,1.0037,-2.7692,2.0112,3.9102
1.9801,-0.27583,-0.8733,-2.2545,-6.1271,-0.61328,0.75586,1.6205,0.93884,-0.69843,-2.3547,0.068152,-3.2089,-2.5983
0.62487,1.2973,1.029,-2.2235,0.47928,-0.57722,-0.80886,0.62021,1.2426,1.2061,-1.0755,0.10323,-0.52102,-1.3472
2.7742,-1.1981,0.44098,-1.3906,-2.0835,1.4971,-1.2582,3.663,-1.8078,0.31132,-0.023391,-1.9481,1.7308,-0.83711
1.1553,2.3206,-1.3077,-0.99146,-0.49879,2.1713,-2.338,1.165,2.6805,-2.0812,-0.56599,-0.7313,2.1212,0.5418
-2.0936,-0.49783,-0.98027,-2.5126,-1.741,0.5885,2.6104,-1.9671,-0.065032,-0.8495,-2.7958,-1.6001,0.5141,0.49938
-1.8421,0.084013,-1.3321,-0.88788,-0.29863,2.1072,-3.6227,-0.85575,-0.33867,-0.43699,-1.0277,-0.20424,2.2207,-1.0753
-2.3284,1.264,0.35466,-1.1814,-5.5534,-0.7157,-2.1577,-1.6388,1.5053,0.55734,-0.50997,-4.0116,-1.0467,-2.8038
-0.3347,2.078,1.3012,-1.2924,-2.5819,-0.20431,-3.704,-1.7022,2.1004,1.1349,-0.070044,-2.2805,0.40226,-2.4738
1.7671,0.23785,2.3278,0.20739,-2.1482,1.2673,-5.3002,1.9917,-0.19222,2.2582,0.70418,-2.3091,1.4703,-2.3531
0.14476,-1.4611,-2.0316,-0.3114,-6.506,0.85764,3.2695,0.05242,-1.6013,-1.1919,0.062265,-3.5419,0.3722,2.4387
1.8901,0.70715,-0.50069,1.0073,-5.1487,2.1116,2.5206,2.1985,0.075573,-0.094482,0.98015,-3.4361,1.2697,3.1941
2.0827,0.86845,-1.4559,-0.90136,-0.34239,-1.4511,-1.8123,2.8925,1.1155,-1.6739,-1.642,-1.9628,0.81524,-1.2206
2.4318,-0.29511,2.5663,1.6441,-3.4895,-0.051404,1.1931,2.2554,-0.73436,2.6483,1.3992,-3.0899,0.089477,1.7007
-0.40345,-2.2059,-0.2701,0.096801,-3.9058,-0.2591,2.9575,0.32841,-1.2749,-0.22667,1.2519,-3.0755,-2.1985,-0.013994
-0.21281,0.85473,0.3852,-0.13327,-2.9529,-0.71838,-4.8889,-1.6355,1.0521,-0.18029,0.18763,-2.0899,-0.81745,-1.4352
-2.3019,0.55428,1.4412,-0.26816,-4.7222,-0.83262,-2.4993,-0.79121,-0.095268,0.78924,-0.51529,-3.2445,-0.15727,0.26945
1.3861,-0.1027,1.8319,0.81262,1.0451,2.0704,-1.4461,1.2553,0.49737,1.6883,0.58173,0.9968,2.0273,-1.181
-0.050463,-1.6083,-1.2449,0.38261,-5.0223,0.8202,-5.304,-0.62162,-0.41106,-1.8345,0.32157,-2.6039,1.5152,-2.1578
1.116,0.4322,2.2485,-0.11084,-2.8344,0.19673,-3.499,0.95981,0.74047,2.2486,0.053587,-2.6037,0.16682,-2.8519
2.1815,1.4529,1.9954,1.6689,-1.4038,0.97093,-1.5184,2.133,1.589,2.1349,1.8,-1.1287,0.85742,-1.3757
-2.3955,-0.16561,1.01,-1.0138,-2.6387,0.075434,-2.2815,-1.4614,-0.8928,0.39161,-1.9445,-0.97512,1.9054,-1.119
-2.4634,1.9277,-1.394,-0.68831,-4.5079,-0.67096,0.38688,-1.7561,1.8505,-0.083791,0.47956,-2.485,-1.0878,0.76151
0.46,0.93663,2.6851,0.92719,-0.50719,1.6598,1.2777,0.35434,0.67135,2.3904,0.95193,-0.59106,1.3452,0.23527
0.17816,1.8093,1.7316,1.0943,-3.5707,1.1661,-2.77,0.60004,1.3789,1.7329,1.1821,-3.4974,1.5257,-1.7991
-1.6141,-0.79792,-0.30212,1.4817,-4.0804,0.73719,-4.5418,-0.851,-2.0539,0.16464,1.4486,-2.9703,0.7365,-2.1102
1.8568,-1.4821,-0.98051,-0.66499,-1.3995,1.5504,-4.0113,1.9197,-1.4714,-2.7131,-0.36282,-1.8243,0.81226,-2.726
0.29886,0.40296,0.312,2.1191,-5.3047,-0.077484,-0.8007,0.30067,0.070559,-1.0546,2.0804,-3.414,-0.17742,-1.4322
2.4397,-0.70891,-2.1482,0.29489,-3.1109,0.13567,-4.5554,2.1228,-1.4198,-0.30062,0.19006,-2.4066,0.4968,-2.8942
2.7805,-1.3525,0.31586,2.0579,-0.66606,1.2118,0.96462,3.4111,-0.55872,0.79258,2.2647,-1.0521,1.4326,1.4529
-1.2335,-0.95944,0.015125,1.4894,0.20685,2.1096,-0.78264,-1.3413,-2.0062,-0.24592,1.6544,-0.33392,3.1601,-0.33867
-1.106,0.87774,-1.3581,-2.0324,1.3776,-0.47455,-3.1412,-1.3487,1.1154,-0.91484,-1.3336,1.0362,-1.3258,-0.99267
0.14448,1.3844,-1.3476,0.055146,-4.5559,-1.3276,-1.7851,0.2195,0.87275,-0.90296,-0.78677,-2.5457,-1.2044,0.86924
1.5555,2.0315,-0.99951,1.4537,-4.0017,-0.36683,-0.35337,1.8766,1.6741,-1.1753,1.4203,-2.9158,-0.4133,-1.3621
-2.0403,0.79577,-1.2315,-1.0644,-4.9509,1.1773,-4.787,-0.74712,0.8497,-0.30755,-1.1512,-2.2174,0.56525,-1.9459
2.0014,-1.9869,1.3528,-0.87609,-4.9196,-0.3902,2.877,1.6408,-0.043362,1.2293,-0.50595,-3.9537,-0.52409,2.3634
-2.4812,-1.8087,1.3272,0.09479,-2.1756,1.4838,-1.4696,-1.3707,-2.3485,1.0516,-0.13219,-0.82703,1.587,-1.7406
-2.5545,-1.1566,0.026777,-0.64666,-5.1623,2.1433,-1.7512,-0.6644,-1.3213,-0.2798,-2.183,-2.5197,2.4521,-0.51765
-0.44798,-0.56419,-1.3589,-2.574,-6.4022,-1.299,0.98594,-0.78986,-1.2601,-0.69246,-1.5489,-0.88865,-2.1723,-0.19448
1.1579,-1.7441,-1.5938,-1.1814,1.1585,-0.75082,-5.3146,1.1942,-1.8786,-2.0057,-1.6124,0.55193,-0.63631,-1.6731
1.7198,0.9703,2.5372,-1.0922,-4.3572,-0.90448,-4.0151,1.5688,0.92847,2.4609,-1.3543,-4.0727,-0.77919,-2.7983
0.86875,1.922,-0.15507,-1.0988,-5.4982,0.65177,3.4057,0.75357,1.9356,-0.35735,-0.79753,-3.8039,1.0682,2.8619
1.9032,-1.5826,1.4055,-0.077737,-4.3527,1.6358,-3.425,1.7766,-0.21665,1.4713,0.29057,-3.5538,1.1786,-2.3798
0.56969,-1.2802,-0.36916,1.4688,-4.4599,-0.046891,-3.4208,0.65402,-0.98276,-1.4794,1.5095,-3.5158,0.042786,-2.5113
2.2277,1.9264,2.2896,0.61579,-1.4685,0.70689,1.701,2.0534,2.024,2.127,0.7615,-1.4972,1.0356,1.958
2.2559,1.0966,-0.38275,-2.5694,-5.2343,1.2204,0.14871,2.8842,1.0793,0.3338,-2.9545,-3.5306,2.2293,0.11391
2.2689,-0.0097965,-1.3064,0.3042,0.95869,-0.61486,-0.043385,2.4259,0.75477,-0.79267,0.30883,0.74877,-0.5768,-1.4695
-0.66037,-2.2133,2.0448,1.641,-4.2889,0.55005,2.5805,-2.0473,-1.6953,2.0984,1.5827,-3.9628,0.30781,1.7638
1.6552,-2.233,2.4764,0.093157,1.1329,-0.77323,2.3521,1.7868,-1.2273,2.4662,0.014265,0.90421,-0.81871,0.92844
