sim_beta_c_c,sim_beta_e_c,sim_beta_c_e,sim_beta_e_e,sim_alpha_choice,sim_alpha_cf,sim_q_init,fit_beta_c_c,fit_beta_e_c,fit_beta_c_e,fit_beta_e_e,fit_alpha_choice,fit_alpha_cf,fit_q_init
-1.6026,1.2034,-1.7254,-1.7504,-3.9819,1.8265,-4.4454,-1.815,1.2065,-0.67296,-2.3678,-3.1447,2.2459,-1.954
1.9594,2.1103,-0.36807,0.37033,1.1547,-0.86199,3.6126,2.4569,2.5127,-0.26697,0.29739,0.80118,-2.0668,1.9239
-2.2962,-0.6861,-2.3754,-2.6619,0.53453,-1.6882,-5.1315,-1.1056,-1.4342,-2.2814,-1.9877,-1.0879,-1.4337,-0.13996
-0.48395,1.1172,0.35629,-0.67245,-2.292,-1.0456,0.097137,0.15606,-0.052986,-0.58742,-1.14,-2.5124,0.29941,1.0586
1.5349,-0.28104,1.0651,1.7061,-4.1067,-1.8557,2.723,1.3305,0.3064,1.2703,1.9145,-4.793,-1.8865,2.905
-1.84,1.5123,1.1507,-1.3929,1.1163,-0.20952,-1.07,-1.339,1.7859,1.2492,-2.1989,0.2199,-0.2332,-1.0939
1.8874,-1.9207,2.2855,-2.0377,-1.1155,0.30557,0.73216,2.1119,-0.4382,2.3583,-0.36955,-1.143,0.16877,-0.52638
-1.7331,-1.3421,1.6421,-1.2763,-2.2159,0.51415,-1.6481,-0.34598,-2.2554,1.7271,-2.0498,-2.2741,0.08815,-1.495
0.13317,-1.4501,-0.47065,-1.4786,-6.0806,-0.89155,-1.3725,-0.18116,-0.65667,-0.59819,-0.94594,-2.4087,-1.262,-0.91847
1.6779,-1.8636,2.233,-2.5798,-5.6852,-1.2465,2.7265,1.5197,0.87374,2.557,-0.17064,-4.7003,-1.3737,2.0105
-1.5399,1.137,-2.1332,-1.8801,0.78511,-0.44816,-0.88572,-0.99475,1.2772,-1.577,-0.70424,0.71428,-0.40849,0.75362
-0.217,1.9873,-2.0241,-0.084439,1.1646,-1.5564,1.746,-0.41774,2.1684,-1.1595,0.18086,1.931,-2.517,1.4556
-2.3626,1.1319,1.7288,-0.3255,-2.9153,1.6224,2.97,-1.5389,1.0648,1.9735,-0.093744,-3.3245,1.5467,2.5208
