subject_id,beta_c_cCond,beta_e_cCond,beta_c_eCond,beta_e_eCond,alpha,alpha_cf,q_init
5719,1.9594,0.26199,1.2039,1.2792,-1.2303,-1.0262,1.9784
5720,1.3658,1.9221,0.46322,2.1253,-0.89421,-0.17781,1.451
5723,-0.79155,1.7018,1.1852,0.19499,-2.6065,-4.5799,1.1681
5757,2.0238,1.1457,-0.99224,1.3926,0.56304,0.022699,1.4286
5759,1.2456,-0.88111,0.56991,1.0778,0.65353,-0.34936,0.25987
5809,-0.5349,2.5718,1.5898,2.0009,-1.363,-2.7654,0.64125
5810,1.5882,0.48127,-0.53515,1.1764,-1.4685,1.0196,2.0624
5811,1.0733,1.394,-1.6854,1.9251,-0.44151,-1.1924,-1.3132
5813,-1.6262,1.2529,-0.53381,0.75615,-0.75204,-1.2312,2.908
5866,2.0432,2.5132,-0.21779,2.2907,-1.0714,-1.3783,0.35573
5878,1.4709,1.0765,-0.31915,1.5874,0.011689,-1.2552,-1.4577
5884,1.41,2.1237,0.95529,2.0994,-0.81935,-0.50272,0.55142
5885,1.7186,2.5773,-0.23891,1.3865,-0.63573,-0.29304,0.5362
5887,1.9115,1.8732,1.0515,2.543,-1.4781,-0.15521,0.5378
5888,1.897,-0.86627,-0.059264,1.034,1.2033,-0.1623,2.3647
5889,0.89933,1.8227,0.49677,2.1213,0.6162,0.301,-2.51
5890,0.51496,1.7807,-0.72073,2.1079,0.15095,0.91746,1.9383
5938,-1.2992,2.2282,-0.50158,2.3156,0.0142,-0.45599,0.61822
6055,1.774,1.7825,0.90584,1.8341,-0.6232,-0.67295,1.6385
6130,2.3779,2.0172,1.0389,2.0943,0.07908,-2.3442,1.2701
6131,-0.95973,2.279,-0.28049,0.58595,-2.3687,-0.55145,0.48139
6132,0.90321,1.784,-0.43967,1.074,0.073361,-0.38757,0.87806
6135,0.93418,1.3274,-0.66846,1.1491,1.6358,-3.5244,0.37467
6153,-1.0503,0.81751,0.34823,-0.028623,-3.3472,-3.6758,2.4577
6212,2.5637,2.0286,2.1154,1.9329,-1.3581,-3.6972,-0.28433
6217,1.8934,-0.95772,0.757,1.2595,-0.022764,0.035183,0.10319
6223,2.5468,3.014,0.58917,1.2469,-0.57602,-1.5174,0.21728
6256,1.6977,0.62436,-0.3406,1.2794,0.94288,-1.0493,2.9337
6275,1.2476,2.4607,-1.4956,1.8293,-0.49273,-0.44687,0.58907
6279,-0.014481,2.8776,1.536,2.6229,-1.1997,-2.3054,0.17127
6280,0.81437,0.74803,0.29756,1.8116,-0.19932,1.3807,1.4375
6285,0.027147,1.5558,-1.2783,1.1448,0.91958,0.18068,2.0448
6286,1.8609,-0.12284,0.70184,0.72277,-0.35666,-0.40264,1.1606
6289,1.341,1.2544,0.82608,1.703,-1.1364,1.1974,1.5917
6292,1.1929,1.9424,-0.24524,2.5968,-0.39314,-1.0625,0.96084
6293,1.0984,-1.1683,0.064305,-0.1817,0.058629,0.42284,2.586
6294,1.2184,2.0782,0.13796,2.5034,-0.17572,0.69734,0.5193
6295,2.1632,1.0305,1.8648,1.7871,-0.74109,-0.74088,0.65927
6380,1.5457,0.95353,-1.1562,0.85995,1.1589,-0.067042,2.7309
6381,1.7433,0.072512,0.17985,2.7875,-2.2189,-5.5541,0.64875
6407,1.0586,0.44849,-2.3021,1.322,1.069,-0.73684,3.0807
6409,1.4729,1.8289,0.31413,1.7862,0.50389,0.6379,1.8545
6410,2.4704,0.044261,0.43318,2.2614,-0.30718,-1.2347,0.38436
6411,0.49767,1.494,-0.41783,1.2424,1.0527,0.33999,2.7672
6414,1.2106,1.9167,-1.3807,2.7172,2.3276,-0.54795,0.020563
6416,-0.079833,2.0299,0.38507,1.5504,0.2234,-0.79237,-0.24472
6417,1.3091,2.8683,-0.091149,2.1053,-1.9715,-1.2719,-0.32221
6460,1.0815,-0.83977,-1.1752,0.36627,0.24137,0.76097,2.5074
6461,-0.091145,2.8619,-1.4427,1.9091,-2.1551,-0.56572,-0.32583
6489,0.64594,2.8051,-1.6198,3.2743,0.05619,-2.0646,0.022909
6490,2.9737,2.408,1.0917,3.3601,-1.8915,-1.5047,0.039511
7056,3.1969,3.6971,0.58559,2.0295,-1.1058,-0.96611,-0.36716
7077,0.73981,0.99565,-0.63529,1.6131,2.3599,-1.2665,-0.084446
7083,1.6612,2.7214,-0.25139,2.0698,-0.41474,-2.5718,-0.719
7145,2.1366,3.7897,0.99225,2.1667,-1.2818,-0.76052,-0.029143
7147,1.9592,1.5945,-1.1477,1.8547,0.027231,0.4137,-1.7171
7148,1.4727,2.6002,0.43207,2.3375,-1.5356,-0.31979,0.2168
7196,2.1254,3.1816,0.81031,1.8989,0.0020329,-1.3578,0.33095
7198,-0.039077,0.58087,-0.5329,1.2539,-0.010724,0.1007,2.8132
7199,2.1363,-0.61689,-1.372,1.705,-0.98864,1.4462,2.8104
7200,2.4078,4.6118,0.57823,2.6968,-2.1455,-1.5902,-0.010079
7240,3.151,0.51178,1.4064,1.4971,-0.93146,-1.1458,-0.53273
7253,0.74252,0.3836,0.41178,0.77664,-2.7615,-0.20727,2.2296
7579,0.32818,1.9821,-0.05099,1.6321,0.70703,0.014901,0.84863
7647,0.32177,4.103,1.5431,2.8629,-2.6044,-1.6398,-0.11862
7653,1.3985,2.7389,0.27655,2.4279,-0.87419,-0.7343,0.096054
7654,1.063,0.96748,-2.4179,1.0474,1.9137,-1.5689,-1.164
7695,1.2393,2.4614,-0.21617,0.83077,1.9379,-2.493,-0.35055
7717,1.9011,2.9976,1.7331,2.1927,-1.2343,-1.1738,0.65498
7731,2.021,4.2455,-0.80206,4.1456,-1.1168,-1.6144,-0.047744
7733,1.0576,2.5474,1.1275,2.049,-0.9513,-1.2323,0.39886
7909,1.3527,2.1293,0.58477,2.1024,-0.89822,-1.2774,-0.20546
8071,0.90129,1.822,0.572,1.0003,-0.57758,-0.52675,2.56
