learning_subject_id,memory_subject_id,age,gender,,,,,,,,,,,,,
3701,3726,9.84,Male,,,,,,,,,,,,,
5560,5667,8.01,Female,,,,,,,,,,,,,
3855,4125,16.83,Male,,,,,,,,,,,,,
5639,5738,23.16,Female,,,,,,,,,,,,,
4500,5704,15.37,Female,,,,,,,,,,,,,
4497,5257,15.04,Female,,,,,,,,,,,,,
3715,4175,8.63,Male,,,,,,,,,,,,,
4306,4532,21.96,Female,,,,,,,,,,,,,
3844,8855,15.67,Male,,,,,,,,,,,,,
4515,5383,22.72,Female,,,,,,,,,,,,,
4243,8232,15.37,Male,,,,,,,,,,,,,
3853,4124,16.94,Male,,,,,,,,,,,,,
4016,4656,14.6,Male,,,,,,,,,,,,,
4007,4462,13.75,Male,,,,,,,,,,,,,
3812,4160,11.65,Male,,,,,,,,,,,,,
4062,4364,20.55,Female,,,,,,,,,,,,,
6223,6420,9.93,Female,,,,,,,,,,,,,
4516,4661,22.99,Female,,,,,,,,,,,,,
5565,5669,19.49,Female,,,,,,,,,,,,,
3851,4149,15.75,Female,,,,,,,,,,,,,
5193,5618,16.51,Female,,,,,,,,,,,,,
4077,4268,23.95,Female,,,,,,,,,,,,,
4008,5945,13.32,Male,,,,,,,,,,,,,
5714,5930,8.03,Male,,,,,,,,,,,,,
3898,4131,22.15,Male,,,,,,,,,,,,,
3864,6221,17.72,Male,,,,,,,,,,,,,
3856,4378,16.52,Male,,,,,,,,,,,,,
3999,6268,11.62,Male,,,,,,,,,,,,,
3834,4262,13.83,Female,,,,,,,,,,,,,
3994,4606,10.6,Male,,,,,,,,,,,,,
4003,4261,12.6,Male,,,,,,,,,,,,,
4041,4465,17.52,Male,,,,,,,,,,,,,
4098,4463,14.33,Female,,,,,,,,,,,,,
4526,5952,24.24,Female,,,,,,,,,,,,,
5171,5375,8.01,Female,,,,,,,,,,,,,
3820,4147,12.25,Male,,,,,,,,,,,,,
3821,4150,12.26,Male,,,,,,,,,,,,,
4521,4663,24.15,Female,,,,,,,,,,,,,
4045,8859,17.68,Female,,,,,,,,,,,,,
3817,5317,11.38,Female,,,,,,,,,,,,,
6212,6267,23.41,Female,,,,,,,,,,,,,
5640,5953,23.75,Female,,,,,,,,,,,,,
4005,4260,12.68,Female,,,,,,,,,,,,,
4036,4266,16.57,Female,,,,,,,,,,,,,
3816,5670,11.41,Female,,,,,,,,,,,,,
6471,7701,8.02,Male,,,,,,,,,,,,,
4028,4464,15.86,Male,,,,,,,,,,,,,
5182,5589,17.75,Female,,,,,,,,,,,,,
3722,8032,10.84,Female,,,,,,,,,,,,,
3718,5933,8.89,Female,,,,,,,,,,,,,
4024,4265,15.3,Male,,,,,,,,,,,,,
4097,4578,17.81,Female,,,,,,,,,,,,,
3871,4176,17.02,Female,,,,,,,,,,,,,
7695,7815,8.01,Male,,,,,,,,,,,,,
3860,4127,16.28,Female,,,,,,,,,,,,,
6279,6382,22.43,Female,,,,,,,,,,,,,
3861,4151,16.71,Female,,,,,,,,,,,,,
4491,5258,13.91,Male,,,,,,,,,,,,,
5720,5836,24.01,Female,,,,,,,,,,,,,
3809,5935,10.34,Female,,,,,,,,,,,,,
5890,6253,16.07,Female,,,,,,,,,,,,,
3791,7711,9.43,Female,,,,,,,,,,,,,
3857,4126,16.4,Male,,,,,,,,,,,,,
4087,5736,25.94,Female,,,,,,,,,,,,,
